Nodal Displacements: 
Node    u1       u2 
163    0.0134   -0.0049   -0.0005    1.5151    0.1085   -0.0372
164    0.0072   -0.0001    0.0000    0.9609    0.3993    0.0032
165    0.0071   -0.0004    0.0008    0.9398    0.3599    0.0623
166    0.0084   -0.0017   -0.0021    1.0381    0.2616   -0.1650
167    0.0049   -0.0055   -0.0050    0.3434   -0.4566   -0.3809
168    0.0124   -0.0052   -0.0022    1.3615    0.0077   -0.1729
169    0.0189   -0.0080   -0.0005    2.0803    0.0074   -0.0354
170    0.0092   -0.0020   -0.0013    1.1282    0.2677   -0.1026
171    0.0144   -0.0056   -0.0014    1.6131    0.0728   -0.1054
172    0.0144   -0.0062   -0.0009    1.5845   -0.0043   -0.0703
173    0.0174   -0.0070   -0.0002    1.9415    0.0595   -0.0136
174    0.0154   -0.0069    0.0010    1.6796   -0.0412    0.0780
175    0.0175   -0.0072    0.0009    1.9377    0.0343    0.0686
176    0.0154   -0.0069    0.0010    1.6795   -0.0411    0.0782
177    0.0175   -0.0072    0.0009    1.9376    0.0346    0.0684
178    0.0136   -0.0094    0.0061    1.2929   -0.4815    0.4715
179    0.0084   -0.0018    0.0022    1.0281    0.2483    0.1708
180    0.0133   -0.0062   -0.0038    1.4244   -0.0748   -0.2929
181    0.0090   -0.0020   -0.0011    1.1031    0.2572   -0.0872
182    0.0044   -0.0038    0.0066    0.3723   -0.2563    0.5114
183    0.0098   -0.0037   -0.0039    1.1085    0.0712   -0.3038
184    0.0091   -0.0020    0.0012    1.1034    0.2496    0.0918
185    0.0072   -0.0006    0.0008    0.9383    0.3393    0.0611
186    0.0157   -0.0091   -0.0037    1.5868   -0.3225   -0.2828
187    0.0185   -0.0095    0.0016    1.9442   -0.2081    0.1255
188    0.0228   -0.0103   -0.0008    2.4679   -0.0776   -0.0635
189    0.0174   -0.0074   -0.0032    1.9098    0.0006   -0.2448
190    0.0159   -0.0079    0.0012    1.6855   -0.1471    0.0939
191    0.0178   -0.0085    0.0000    1.9076   -0.1167    0.0006
192    0.0155   -0.0060    0.0014    1.7340    0.0785    0.1104
193    0.0091   -0.0020    0.0012    1.1049    0.2492    0.0926
194    0.0072   -0.0006   -0.0008    0.9357    0.3381   -0.0634
195    0.0090   -0.0020   -0.0012    1.1005    0.2563   -0.0887
196    0.0120   -0.0040   -0.0010    1.3855    0.1502   -0.0745
197    0.0162   -0.0074   -0.0009    1.7545   -0.0568   -0.0703
198    0.0153   -0.0102   -0.0049    1.4716   -0.4871   -0.3748
199    0.0185   -0.0095    0.0016    1.9440   -0.2084    0.1250
200    0.0228   -0.0103   -0.0008    2.4697   -0.0765   -0.0620
201    0.0174   -0.0074   -0.0032    1.9095    0.0009   -0.2451
202    0.0155   -0.0061    0.0014    1.7341    0.0781    0.1113
203    0.0132   -0.0056    0.0027    1.4494    0.0032    0.2097
204    0.0107   -0.0069   -0.0054    1.0464   -0.3054   -0.4145
205    0.0035   -0.0018   -0.0006    0.3683   -0.0409   -0.0484
206    0.0170   -0.0080   -0.0018    1.8257   -0.1019   -0.1404
207    0.0162   -0.0074   -0.0009    1.7547   -0.0582   -0.0704
208    0.0107   -0.0037   -0.0030    1.2234    0.1199   -0.2309
209    0.0153   -0.0063   -0.0018    1.6970    0.0352   -0.1416
210    0.0096   -0.0065    0.0058    0.9174   -0.3162    0.4435
211    0.0137   -0.0094    0.0061    1.2936   -0.4827    0.4713
212    0.0178   -0.0098    0.0017    1.8349   -0.2864    0.1331
213    0.0178   -0.0085    0.0000    1.9077   -0.1180    0.0003
214    0.0157   -0.0091   -0.0037    1.5889   -0.3208   -0.2817
215    0.0180   -0.0088   -0.0000    1.9187   -0.1434   -0.0038
216    0.0132   -0.0062   -0.0038    1.4239   -0.0732   -0.2928
217    0.0170   -0.0080   -0.0018    1.8277   -0.1003   -0.1382
218    0.0125   -0.0046    0.0003    1.4128    0.0993    0.0229
219    0.0124   -0.0052   -0.0023    1.3631    0.0073   -0.1743
220    0.0072   -0.0006    0.0008    0.9391    0.3396    0.0609
221    0.0112   -0.0045    0.0031    1.2447    0.0363    0.2378
222    0.0178   -0.0098    0.0017    1.8339   -0.2871    0.1329
223    0.0195   -0.0101   -0.0004    2.0481   -0.2291   -0.0315
224    0.0066   -0.0000    0.0000    0.8807    0.3722    0.0002
225    0.0074   -0.0015    0.0027    0.9053    0.2184    0.2063
226    0.0180   -0.0088   -0.0000    1.9184   -0.1443   -0.0033
227    0.0153   -0.0102   -0.0049    1.4741   -0.4866   -0.3735
228    0.0185   -0.0099   -0.0007    1.9231   -0.2618   -0.0530
229    0.0175   -0.0079    0.0026    1.9017   -0.0582    0.2035
230    0.0154   -0.0073    0.0017    1.6509   -0.0911    0.1288
231    0.0133   -0.0059    0.0027    1.4478   -0.0309    0.2046
232    0.0066   -0.0000    0.0000    0.8805    0.3723    0.0001
233    0.0096   -0.0042    0.0047    1.0482   -0.0113    0.3620
234    0.0043   -0.0005    0.0000    0.5531    0.1792    0.0023
235    0.0064   -0.0005    0.0000    0.8330    0.2989    0.0022
236    0.0107   -0.0069   -0.0054    1.0447   -0.3058   -0.4152
237    0.0035   -0.0018   -0.0006    0.3695   -0.0395   -0.0466
238    0.0051   -0.0040   -0.0003    0.4556   -0.2482   -0.0260
239    0.0044   -0.0038    0.0066    0.3758   -0.2555    0.5113
